name,common,ra_deg,dec_deg,major_arcmin,type,minor_arcmin,pos_angle,messier
IC0476,,116.818042,26.950972,0.62,G,0.48,99,
IC0477,,118.028875,23.483028,1.15,G,1.15,30,
IC0478,,118.423208,26.492694,0.66,G,0.48,12,
IC0479,,118.592583,27.008833,0.61,G,0.51,171,
IC0480,,118.846625,26.743333,1.75,G,0.33,167,
IC0481,,119.761917,24.160639,0.93,G,0.26,4,
IC0482,,119.947000,25.356972,0.63,G,0.52,151,
IC0483,,119.968250,25.925333,,**,,,
IC0484,,120.004417,26.665861,0.89,G,0.40,43,
IC0485,,120.082375,26.701444,1.17,G,0.24,154,
IC0486,,120.087417,26.613528,0.87,G,0.66,138,
IC0488,,120.206292,25.901861,,Other,,,
